row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_404_040.mzML Peak height,HATS_401_022.mzML Peak height,HATS_408_043.mzML Peak height,HATS_405_025.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_412_019.mzML Peak height,HATS_409_056.mzML Peak height,HATS_410_018.mzML Peak height,HATS_411_044.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_610_050.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,OH8243_805_057.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_806_027.mzML Peak height,OH8243_809_063.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_812_060.mzML Peak height,OH8243_811_028.mzML Peak height,PB_02_006.mzML Peak height,PB_03_007.mzML Peak height,PB_01_005.mzML Peak height,QC_02_031.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_03_039.mzML Peak height,QC_05_054.mzML Peak height,QC_06_062.mzML Peak height
5784,314.1386014,4.0903115,27015.785,22792,71561.44,41418.97,24043.713,54095.12,49523.844,85996.32,33965.246,23535.176,68695.664,39094.914,1339.0597,1164.8656,3309.4363,6535.394,1407.268,1176.0396,1326,0,0,0,8249.115,9664.484,23010.81,30633.717,14391.265,2362.7415,41843.566,74462,59668.99,48961.605,9196.429,48224.62,150136.89,9415.224,0,0,0,29662.795,30334.53,30163.543,30227.457,30034.42,32832.086
6251,314.1386683,4.2839437,11293.98,19429.95,6296.562,17058.162,8881.769,14871.838,7655.3794,18670.875,12294.637,6555.116,8793.751,11220.916,12121.382,11734.007,36367.895,15199.275,14243.238,14206.505,7523.803,17732.072,10166.149,7774.686,14107.781,7805.5083,5387.5464,9919.623,7112.219,19543.58,7394.377,5606.8545,6639.2144,5479.128,12001.912,5291.279,5358.605,5180.827,0,0,0,10924.494,10414.437,13247.845,10936.817,11194.618,12474.13
8460,314.1387401,5.1996965,313203.8,207520.34,356359.7,291170.56,155134.42,439291.06,228520.53,415750.16,86762.41,139781.44,342444.66,367344.34,26898.299,15323.453,73081.54,331987,5036.017,23886.125,19266.26,24330.846,5938.579,8846.924,185331.33,24569.021,120285.45,200003.92,122849.24,28719.984,208442.56,306906.4,382509.28,274468.6,160117.4,233298.06,468578.16,102518.766,0,0,0,196881.75,159257.77,164450.78,170495.5,170023.95,179830.89
8457,314.1505081,5.199102,23278.172,22185.412,22371.244,21238.94,16227.173,31049.225,21660.975,28608.348,9935.22,14518.256,28102.4,26910.062,3463.0364,2336.5903,7974.408,27232.55,1527.0632,3234.005,2333.9592,3063.2,1215.4807,1197.4557,17297.174,2986.7317,12552.772,19052.398,13358.32,3617.0217,18191.44,24243.877,30140.86,24456.307,16124.088,22088.629,28337.887,12259.851,0,0,0,18838.156,17701.125,16223.681,17328.334,17388.848,18049.527
8459,314.1749737,5.1996856,14276.155,10739.254,16588.172,13169.286,7330.2144,22472.016,11371.403,20470.312,4025.448,6192.2554,16386.334,17276.98,1318.4801,0,3048.0002,15171.007,0,1372.707,0,1153.6472,0,0,8982.004,1588.154,5516.7505,9288.924,5742.3364,1331.2224,10397.204,13888.444,18141.002,12073.419,7572.161,11666.549,22447.111,4703.1904,0,0,0,9868.485,6898.1167,7407.5796,7776.871,7213.9385,7564.599
3856,314.2801539,3.1888187,8536.059,7036.256,6977.2812,9800.673,10555.149,5451.9673,7596.845,7247.8784,9986.082,8443.253,11603.492,6837.0186,24022.785,38111,45066.914,34512.7,29056.281,28610.94,29658.682,28016.562,24518.22,19082.45,18834.646,6341.9165,5106.26,7627.594,5996.7764,34857.78,6239.862,6359.5103,8183.103,5497.4,7579.816,6025.3657,5685.0063,5586.7563,0,0,0,16444.783,20635.719,15932.621,21071.854,17847.104,18129.324
2459,315.0476612,2.3992085,20633.773,24465.672,35579.633,25294.967,26413.996,27159.633,30262.23,31088.676,27632.85,25879.285,48072.715,37748.51,38937.836,30325.5,63005.957,38714.09,23054.21,24233.168,31318.135,46278.168,38498.3,31779.166,47119.94,29394.586,25730.041,35939.43,41906.773,51561.51,35374.004,26878,29734.818,31986.166,29651.508,30015.34,28129.67,31513.146,0,0,0,30789.54,40412.34,34460.77,33907.848,35383.72,34032.8
2867,315.1050615,2.609176,15039.804,15452.429,14996.805,20038.877,16207.268,14563.288,13695.84,16701.156,20607.81,15786.693,19190.762,15866.469,18827.723,32610.834,28506.11,38791.98,34768.6,34798.168,42806.86,32830.94,32715.463,38970.72,28514.658,14340.199,16094.712,18606.064,23522.049,33639.863,19787.025,15291.347,17363.02,23960.832,15435.218,20161.516,19785.838,14311.845,0,0,0,21957.947,24740.143,27080.645,24482.75,24340.914,23322.873
3633,315.1314561,3.0701349,0,7945.9194,5653.2456,25398.61,4499.3267,3763.5574,4639.928,7045.889,16711.365,7986.2363,11326.358,15514.251,20650.709,38992.883,45313.273,48297.93,23239.45,38725.41,27035.143,51246.68,22057.838,27321.832,36677.465,15923.696,13574.101,14709.323,0,61553.58,2564.5942,0,6168.7173,9364.931,14212.937,16036.553,8333.121,9870.145,0,0,0,19287.236,21269.846,22683.365,21867.701,19968.65,21496.572
6114,316.1179616,4.2388453,23269.686,33263.96,29160,28759.58,29621.67,48171.438,33458.883,29460.596,16055.145,41246.76,41986.75,26623.146,0,0,1219.3344,1374.6095,0,0,0,0,0,0,1652.73,4916.533,10740.887,18771.25,31153.814,0,22960.178,24187.105,51476.184,31671.75,10903.755,100602.234,30471.646,11374.293,0,0,0,16728.576,16230.441,14530.832,15848.568,13765.156,18853.107
