mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1138.56280620729_4.2442145,1138.56280620729,4.2442145,6379.2515,1138.56280620729_4.2442145,1138.56280620729_4.2442145,1
1138.56283592827_4.5159597,1138.56283592827,4.5159597,11683.564999999999,1138.56283592827_4.5159597,1138.56283592827_4.5159597,1
1151.63135137348_5.1233387,1151.63135137348,5.1233387,7880.7473,Cluster_578.406656402623_5.1152167,1035.61900797989_5.1122932;1037.1091001108_5.1136446;1056.53430825073_5.1216283;1151.63135137348_5.1233387;127.038994741722_5.11021;145.049563486734_5.117227;241.070624949563_5.115628;259.081287353622_5.1164665;295.102497653947_5.116862;296.105931055998_5.1138825;325.112993557949_5.1134863;358.171948858718_5.117569;363.495984702925_5.11867;363.830468347041_5.116564;436.754020858433_5.1176367;457.155065183496_5.116663;517.779871182186_5.115609;526.293612577877_5.117061;526.340377468668_5.118512;528.77147918881_5.1252284;528.817947702132_5.1248064;529.272962373124_5.1253195;529.319556798198_5.1244087;536.758001044096_5.1252036;537.260379463517_5.1248064;537.759950454667_5.124807;542.238687184529_5.1191597;544.739892147305_5.1184516;545.241231714053_5.1196413;554.741603785728_5.1241455;559.756060852902_5.1202383;562.72876816718_5.1213107;563.23067067722_5.1204605;578.406656402623_5.1152167,34
1164.0340835672_6.3254185,1164.0340835672,6.3254185,59013.88250000001,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1164.10218261765_6.3254175,1164.10218261765,6.3254175,4045.1251,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1164.28439896498_6.324625,1164.28439896498,6.324625,58064.994999999995,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1164.35278703496_6.3250217,1164.35278703496,6.3250217,4388.716,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1166.59457907779_5.072289,1166.59457907779,5.072289,2017.9309,1166.59457907779_5.072289,1166.59457907779_5.072289,1
1169.27807629203_6.3270073,1169.27807629203,6.3270073,4460.4310000000005,1169.27807629203_6.3270073,1169.27807629203_6.3270073,1
1169.77958207004_6.324624,1169.77958207004,6.324624,6802.8075,1169.77958207004_6.324624,1169.77958207004_6.324624,1
