row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_401_022.mzML Peak height,HATS_404_040.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_408_043.mzML Peak height,HATS_409_056.mzML Peak height,HATS_405_025.mzML Peak height,HATS_411_044.mzML Peak height,HATS_410_018.mzML Peak height,HATS_412_019.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,LA2213_610_050.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_805_057.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_806_027.mzML Peak height,PB_01_005.mzML Peak height,PB_02_006.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_809_063.mzML Peak height,PB_03_007.mzML Peak height,OH8243_811_028.mzML Peak height,OH8243_812_060.mzML Peak height,QC_02_031.mzML Peak height,QC_03_039.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_06_062.mzML Peak height,QC_05_054.mzML Peak height,
8270,241.1433914295104,5.2750297,2338.9272,2142.3958,2656.9429,1834.9237,3090.8806,2078.182,1815.1074,1992.1691,2639.08,2142.0146,2540.8228,2716.8125,1879.6593,1730.4943,2749.9758,2523.397,2426.3345,1951.9277,2788.828,2258.1523,1764.9071,3358.2886,3552.1355,1966.3727,3539.9834,3793.9412,4396.0195,3054.1577,2720.7266,2280.2195,1807.1599,2686.678,6240.333,4891.8027,2629.5544,3283.1304,4374.1353,2512.54,2449.4875,2886.4753,3425.9788,3105.336,3872.3625,2641.911,3078.5828,
2029,241.15470494749843,2.25857,19672.004,19069.256,23812.672,17935.445,17191.564,21611.979,20954.766,22186.648,18967.203,21929.178,23044.977,19802.219,20280.092,25790.9,29009.18,29068.246,28286.826,33750.3,26048.06,27241.012,25148.125,32485.465,17715.258,28983.123,27697.69,19528.635,28164.316,31390.88,27426.287,24774.426,26837.416,26436.072,0,0,20742.969,28236.697,0,25191.934,25670.559,24980.84,23354.188,28771.904,25290.287,25600.316,22693.254,
667,241.15476697276785,0.6743753,110123.42,140321.77,155952.97,124115.72,80716.36,212178.22,169823.84,99194.64,147178.62,147423.97,96554.3,128469.68,55136.727,49427.965,65411.727,100792.766,75180.88,42075.15,33497.32,64246.504,64541.156,65988.4,99519.516,40502.016,132565.19,120075.836,114227.555,60456.36,111692.12,152019.73,120248.31,138673.95,0,0,174467.34,169648.6,0,163786.08,157448.42,95094.0,104286.46,101647.59,100840.22,104567.75,94188.68,
9399,241.1586911694271,7.240055,7324.5767,7214.394,5068.0693,15509.922,14119.869,6483.3677,9647.924,12939.378,12452.645,12251.041,11313.119,2803.5422,0,0,0,0,0,2133.053,0,0,0,0,0,0,3678.0076,3792.259,4967.042,1348.9813,14455.911,6219.582,22297.371,24957.018,0,0,3528.4988,16097.497,0,4396.1855,9316.625,7624.507,5641.9365,5686.1553,4632.1616,5297.284,5707.6,
689,241.16517199696287,0.67477256,10542.256,13588.388,17428.973,12022.488,8246.777,19084.793,15791.297,10122.001,13855.3,14405.381,9274.307,14041.1,5399.6714,5465.798,6217.1733,11492.778,8555.437,4594.133,4029.088,8318.964,7209.4927,6887.889,9610.847,3706.1433,13058.556,11934.716,11393.306,6021.734,12491.662,14459.353,12878.728,13500.37,0,0,14227.732,15550.34,0,14318.201,12478.448,10916.414,11227.887,9576.586,10946.829,9269.37,7950.599,
3672,241.1845195173421,3.1770964,2005.4203,2883.0042,4036.329,1736.3428,1781.4364,2172.2246,3900.7825,3065.255,1944.25,3241.711,2325.8,3796.7534,12995.963,5117.449,15375.494,11735.43,9704.102,11324.009,11959.643,6815.5205,8011.1157,9260.232,2755.5576,7639.9346,2139.6897,1529.6736,3127.9402,13346.521,2149.0334,4038.8096,3573.0928,1893.3993,0,0,2559.838,1848.3546,0,2241.2031,2443.1,6352.5894,6883.0015,6627.022,6020.5483,5387.585,6581.887,
8129,241.20399871566696,5.158576,0,0,1097.7571,1303.5452,1530.557,5494.798,1509.7959,1416.1644,1254.1569,4547.747,3712.1213,1486.3472,2089.03,0,1186.5029,0,0,1506.0662,1173.969,1313.4585,0,0,1984.7657,1446.7799,3201.836,1907.7732,5067.879,1104.7115,0,7616.6733,3809.1428,2045.2781,0,1771.5729,1047.213,1020.6707,1031.3878,0,1332.3849,1925.1677,1839.5612,1603.6593,1708.5704,1072.4382,0,
163,241.96413973537315,0.524398,2267.702,2427.1858,2921.4712,3177.3293,1608.8922,2237.0835,3120.2883,2677.4211,3682.133,2291.3086,2892.295,3071.682,5679.044,3546.0164,5396.602,5917.5444,3658.9053,7369.662,5312.955,3821.678,4486.5674,4673.9414,1717.8903,4006.7866,1987.848,3221.221,1597.036,4736.6816,2197.6565,2055.358,2015.4889,3545.419,0,0,2354.5127,2265.4792,0,2788.7278,2767.2485,3645.3184,3540.2341,4012.182,3151.2053,3283.7751,3746.3594,
133,242.0022740007985,0.5198282,9638.01,8666.297,10152.277,8480.714,10665.076,8720.755,9013.559,10635.457,9926.494,8668.048,9537.53,8567.727,7733.7734,6953.3975,6147.2354,5425.664,6758.542,10180.966,6279.25,6691.413,5130.476,5920.6235,8356.859,5800.477,8430.881,6645.6606,6856.174,6592.474,8280.701,7866.251,10416.311,9381.912,0,0,8866.148,10014.996,0,9123.892,10287.717,8294.989,8625.787,9658.805,7338.5205,8427.3545,9411.739,
7730,242.07409090354128,5.112335,6527.466,4218.251,3916.8203,3935.0708,4781.8457,3910.376,5746.3223,5282.527,6024.7026,5238.4116,7379.5444,3483.7703,7495.865,8817.524,7136.853,6988.4736,8005.0024,8310.825,7076.226,7601.9375,8177.334,8453.21,0,7209.3804,1128.0992,1573.645,0,7748.652,0,0,0,1535.9918,0,0,0,0,0,0,1272.3356,6930.923,7030.898,5873.135,6485.8003,6651.148,6372.35,
