row_ID,mz,rt,mz_rt,HATS_402_041,HATS_403_037,HATS_401_022,HATS_404_040,HATS_406_055,HATS_407_059,HATS_408_043,HATS_409_056,HATS_405_025,HATS_411_044,HATS_410_018,HATS_412_019,LA2213_605_017,LA2213_602_035,LA2213_603_045,LA2213_607_032,LA2213_604_016,LA2213_601_051,LA2213_606_033,LA2213_609_058,LA2213_608_024,LA2213_612_046,OH8243_801_036,LA2213_610_050,OH8243_804_029,OH8243_802_026,OH8243_803_030,LA2213_611_061,OH8243_807_053,OH8243_805_057,OH8243_808_038,OH8243_806_027,OH8243_810_049,OH8243_809_063,OH8243_811_028,OH8243_812_060,QC_02_031,QC_03_039,QC_04_047,QC_01_023,QC_06_062,QC_05_054
8728,928.9144893850032,6.03425,928.914489385003_6.03425,0,1914.8654,2793.394,2583.163,1964.2445,2877.693,2785.3677,1563.4854,1993.3295,4155.2383,3816.0278,1782.4358,1965.3025,1644.9652,0,1374.306,4606.001,3554.4841,5273.0054,3186.5413,4949.31,6814.74,2554.752,6842.9976,6698.4023,2474.1875,5217.947,5972.058,4719.5503,6349.7983,7543.817,3892.782,6525.5723,6791.849,3484.5012,6111.7456,3580.111,4539.599,4631.5713,3137.776,4648.237,5004.169
8228,930.5051022548658,5.2268305,930.505102254866_5.2268305,3844.482,5471.4062,3773.5227,9828.724,12950.094,35998.582,9104.716,10614.591,37442.945,10246.229,10465.933,4193.868,1967.2854,1942.0001,2586.9075,1564.0264,3914.6882,3033.5461,1970.5334,1778.6895,2989.083,1595.2441,0,1318.6206,0,0,0,2610.7786,0,0,0,0,0,0,0,0,4491.76,5111.1333,4074.325,4872.042,4980.8306,3987.656
7616,930.5051810071576,5.0925307,930.505181007158_5.0925307,3381.8865,5901.9746,7560.595,4453.528,4943.6055,3556.8025,4273.1074,5709.568,6990.1353,6956.254,9632.753,7668.299,22381.086,21337.637,32491.357,23986.098,27160.498,37869.79,25155.783,21570.922,21092.734,21217.656,0,17332.059,0,0,1480.103,28103.803,0,0,0,0,0,0,1233.2623,0,14645.121,12879.5205,13925.655,16507.08,15140.124,12519.249
9136,931.0282319407776,6.3272066,931.028231940778_6.3272066,8892.475,7343.812,5478.7554,6749.2607,4532.469,7804.0103,5256.0093,4377.358,8128.534,4147.258,4314.0015,6528.7095,4658.1694,9321.529,3045.1636,4362.011,5235.8228,6337.9976,2024.6887,5173.7617,4237.458,1394.4808,2098.551,1698.333,2874.0095,3984.39,1662.4371,2278.627,2860.827,2235.0178,2263.805,2192.1917,2503.84,1913.266,3034.5298,3016.031,3194.2805,3459.4568,3848.1575,4061.456,4882.7607,5185.567
9144,931.2286452545528,6.323235,931.228645254553_6.323235,16296.637,8999.108,18196.598,13651.093,6620.551,13450.809,9796.903,12586.26,17716.451,8789.902,9687.776,11874.844,8708.758,22772.154,11020.792,11945.352,13431.143,15928.404,4309.6943,7029.809,3068.302,2556.2698,6081.6626,5462.143,4014.978,5111.1313,3631.2415,5742.0435,2075.1328,3512.0774,2691.9692,2669.286,5786.083,2640.1128,6068.0005,5121.1206,8226.42,7174.1406,10583.973,7997.9995,10015.674,8435.8
9163,931.4294017319032,6.3258157,931.429401731903_6.3258157,21944.688,12948.277,16743.898,18914.83,10636.944,18802.06,16522.979,15717.175,21766.277,12800.766,15996.317,17764.752,10236.727,27820.547,14263.197,19290.16,15834.01,22778.262,5169.5737,10819.885,5713.0054,2354.133,7527.0137,6321.077,4458.7754,7790.5586,4820.325,4799,4682.674,5491.1045,5963.3086,6298.983,7257.8438,5789.266,7401.1265,7403.0146,14330.765,9479.037,11366.964,10275.139,13070.739,11371.668
9154,931.6294178807894,6.3252215,931.629417880789_6.3252215,22203.5,15749.1,20777.637,21334.336,8109.3906,19995.133,14036.045,14957.531,19818.447,12992.796,13944.883,16478.889,10762.016,29157.273,15518.28,19274.227,16876.607,21156.883,6206.2847,13795.4795,5319.135,4359.2417,6032.362,3581.1465,5244.9653,7085.879,4013.5576,4700.8345,5013.4907,5377.5186,3394.4995,4938.157,10288.93,4504.7095,8167.877,6903.0107,10830.153,11292.663,8511.486,10662.285,10881.786,10949.612
9156,932.030110722192,6.3252206,932.030110722192_6.3252206,12650.125,6349.8584,10019.617,11149.884,4914.207,11627.137,7513.6367,6696.044,13489.658,6057.0107,7341.6294,14443.962,7593.8364,15094.689,8206.1455,7801.757,10146.161,13002.074,3476.5784,8057.719,5211.83,2130.521,4293.796,2410.009,3553.369,3897.9985,2698.067,3249.849,2971.981,3415.0908,6172.3677,5704.7344,5548.052,4523.729,4988.3647,6123.168,7298.3203,5924.725,8736.315,9742.694,9065.56,7433.537
6764,934.498643287854,4.6362314,934.498643287854_4.6362314,0,2231.3413,6409.8774,1472.2557,2516.5186,0,1216.9314,1920.0386,2421.1592,4198.289,2245.7607,5469.6514,1013.5557,2316.762,2244.072,2856.6692,3421.9592,2526.9763,3027.0864,2201.1128,3687.2874,2710.1057,2426.0032,1558.5682,0,1640.5682,1336.6923,2181.0874,1642.36,0,2317.8628,0,2246.5215,1081.5553,1563.3545,0,2130.5574,2417.9724,1956.5974,2562.9517,2287.9297,2123.6743
5353,934.499369455541,4.003491,934.499369455541_4.003491,0,2594.7993,7534.5884,1716.6515,1479.077,2283.141,1727.69,2340.0728,1520.4685,4745.2324,3554.9578,6803.761,13689.793,13460.832,15831.325,23401.307,15097.148,16918.613,14414.179,7343.3267,8031.697,11623.408,4513.188,6838.9585,1774.004,2935.4805,2322.75,16957.42,2552.403,0,3604.3345,0,2951.275,1814.6184,2724.3777,2048.7632,8071.7886,7618.4585,7894.035,8377.5205,8021.2036,6448.481
